device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_in_trackbox_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_in_trackbox_coordinate_system,right_gaze_origin_validity
467525500,6405415231,"(0.4633694291114807, 0.4872185289859772)","(-10.157917022705078, 128.29026794433594, 40.840389251708984)",1,5.6552276611328125,1,"(-25.868297576904297, 1.4193872213363647, 644.224853515625)","(0.5615569949150085, 0.4811278283596039, 0.4894910752773285)",1,"(0.4944303631782532, 0.44987085461616516)","(0.7905667424201965, 135.2486572265625, 43.37314987182617)",1,5.307220458984375,1,"(32.527923583984375, -2.9728522300720215, 640.705322265625)","(0.431782990694046, 0.49570250511169434, 0.4830748438835144)",1
467542155,6405431886,"(0.3234942853450775, 0.46800684928894043)","(-59.46162414550781, 131.86968994140625, 42.14324951171875)",1,5.6328125,1,"(-25.957046508789062, 1.3167654275894165, 645.3123168945312)","(0.5616586804389954, 0.48143649101257324, 0.49167102575302124)",1,"(0.34000611305236816, 0.41240498423576355)","(-53.6414794921875, 142.22914123535156, 45.91379165649414)",1,5.327194213867188,1,"(32.61334991455078, -2.951897382736206, 641.7886352539062)","(0.4317147135734558, 0.49562618136405945, 0.48524707555770874)",1
467558809,6405448570,"(0.32488468289375305, 0.4802190363407135)","(-58.97154235839844, 129.59437561035156, 41.31511306762695)",1,5.644561767578125,1,"(-25.970775604248047, 1.1342618465423584, 644.654052734375)","(0.561751127243042, 0.48197048902511597, 0.4903559684753418)",1,"(0.33688339591026306, 0.4121865928173065)","(-54.742183685302734, 142.26980590820312, 45.92860794067383)",1,5.3333892822265625,1,"(32.61695861816406, -3.0777852535247803, 641.1270751953125)","(0.43163445591926575, 0.4960102438926697, 0.48392724990844727)",1
467575464,6405465261,"(0.315104216337204, 0.48565977811813354)","(-62.41900634765625, 128.5806884765625, 40.9461669921875)",1,5.6399993896484375,1,"(-26.104061126708984, 0.9124643206596375, 644.2997436523438)","(0.5620822906494141, 0.4826201796531677, 0.4896579682826996)",1,"(0.33878621459007263, 0.42428719997406006)","(-54.07146072387695, 140.01527404785156, 45.10804748535156)",1,5.323486328125,1,"(32.410255432128906, -3.3649938106536865, 640.792724609375)","(0.43206357955932617, 0.4968636631965637, 0.48324131965637207)",1
467592119,6405481957,"(0.31068190932273865, 0.4844397008419037)","(-63.97779846191406, 128.80799865722656, 41.028907775878906)",1,5.6381683349609375,1,"(-26.05565643310547, 0.9424271583557129, 644.0538940429688)","(0.5619964599609375, 0.4825316071510315, 0.4891628324985504)",1,"(0.34331613779067993, 0.42176353931427)","(-52.47473907470703, 140.4854736328125, 45.27919006347656)",1,5.32415771484375,1,"(32.39946746826172, -3.3834500312805176, 640.5474243164062)","(0.4320604205131531, 0.49692240357398987, 0.4827503561973572)",1
467608773,6405498619,"(0.3176403343677521, 0.4914032518863678)","(-61.52505874633789, 127.51055908203125, 40.55674743652344)",1,5.62646484375,1,"(-26.016101837158203, 0.9909176826477051, 643.8648071289062)","(0.5619247555732727, 0.4823882281780243, 0.4887818694114685)",1,"(0.34569159150123596, 0.42104828357696533)","(-51.6374397277832, 140.6187286376953, 45.327693939208984)",1,5.3150787353515625,1,"(32.39759826660156, -3.3772473335266113, 640.35791015625)","(0.4320431053638458, 0.49690714478492737, 0.48237156867980957)",1
467625428,6405515281,"(0.31986966729164124, 0.48826295137405396)","(-60.739234924316406, 128.09564208984375, 40.769691467285156)",1,5.605712890625,1,"(-25.97454833984375, 1.0346723794937134, 643.759765625)","(0.5618412494659424, 0.4822593331336975, 0.4885687232017517)",1,"(0.3433573544025421, 0.42645034193992615)","(-52.46022033691406, 139.61224365234375, 44.961360931396484)",1,5.3080902099609375,1,"(32.411399841308594, -3.370945453643799, 640.2513427734375)","(0.4320001006126404, 0.4968905746936798, 0.48216015100479126)",1
467642083,6405531943,"(0.31552624702453613, 0.4904460906982422)","(-62.27022933959961, 127.68890380859375, 40.621604919433594)",1,5.5516357421875,1,"(-25.95671844482422, 1.0605186223983765, 643.5625)","(0.5618188381195068, 0.48218220472335815, 0.4881732165813446)",1,"(0.33917519450187683, 0.42142537236213684)","(-53.93435287475586, 140.54847717285156, 45.302127838134766)",1,5.2659759521484375,1,"(32.3968505859375, -3.3745720386505127, 640.0546875)","(0.4320104718208313, 0.49690431356430054, 0.48176586627960205)",1
467658737,6405548604,"(0.3141792416572571, 0.4909176230430603)","(-62.74502182006836, 127.60104370117188, 40.589630126953125)",1,5.5245361328125,1,"(-25.93862533569336, 1.0566589832305908, 643.5325317382812)","(0.5617814660072327, 0.4821939170360565, 0.4881119430065155)",1,"(0.3420819640159607, 0.417641282081604)","(-52.90977096557617, 141.25350952148438, 45.558738708496094)",1,5.234909057617188,1,"(32.39849853515625, -3.4030277729034424, 640.0248413085938)","(0.43200400471687317, 0.49698954820632935, 0.48170679807662964)",1
467675392,6405565267,"(0.3120594620704651, 0.489399254322052)","(-63.49221420288086, 127.88392639160156, 40.692604064941406)",1,5.4433441162109375,1,"(-25.932621002197266, 1.0330582857131958, 643.4151611328125)","(0.5617790818214417, 0.4822632074356079, 0.4878767132759094)",1,"(0.34230315685272217, 0.4282294511795044)","(-52.831809997558594, 139.28076171875, 44.84073257446289)",1,5.1468658447265625,1,"(32.38109588623047, -3.444448471069336, 639.9090576171875)","(0.43203067779541016, 0.497114360332489, 0.4814741313457489)",1
